rstrnt_no,pht_nm
0000000000000002,0000000000000002
0000000000000029,0000000000000029
0000000000000058,0000000000000058
0000000000000081,0000000000000081
0000000000000097,0000000000000097
0000000000000011,0000000000000011
0000000000000034,0000000000000034
0000000000000073,0000000000000073
0000000000000085,0000000000000085
0000000000000099,0000000000000099
0000000000000100,0000000000000100
0000000000000127,0000000000000127
0000000000000172,0000000000000172
0000000000000176,0000000000000176
0000000000000108,0000000000000108
0000000000000007,0000000000000007
0000000000000009,0000000000000009
0000000000000014,0000000000000014
0000000000000030,0000000000000030
0000000000000032,0000000000000032
0000000000000047,0000000000000047
0000000000000050,0000000000000050
0000000000000062,0000000000000062
0000000000000066,0000000000000066
0000000000000068,0000000000000068
0000000000000096,0000000000000096
0000000000000098,0000000000000098
0000000000000109,0000000000000109
0000000000000126,0000000000000126
0000000000000137,0000000000000137
0000000000000145,0000000000000145
0000000000000154,0000000000000154
0000000000000157,0000000000000157
0000000000000169,0000000000000169
0000000000000173,0000000000000173
0000000000000178,0000000000000178
0000000000000179,0000000000000179
0000000000000180,0000000000000180
0000000000000185,0000000000000185
0000000000000186,0000000000000186
0000000000000023,0000000000000023
0000000000000051,0000000000000051
0000000000000084,0000000000000084
0000000000000152,0000000000000152
0000000000000076,0000000000000076
0000000000000140,0000000000000140
0000000000000003,0000000000000003
0000000000000005,0000000000000005
0000000000000006,0000000000000006
0000000000000008,0000000000000008
0000000000000019,0000000000000019
0000000000000020,0000000000000020
0000000000000022,0000000000000022
0000000000000024,0000000000000024
0000000000000028,0000000000000028
0000000000000045,0000000000000045
0000000000000061,0000000000000061
0000000000000083,0000000000000083
0000000000000086,0000000000000086
0000000000000087,0000000000000087
0000000000000092,0000000000000092
0000000000000093,0000000000000093
0000000000000165,0000000000000165
0000000000000010,0000000000000010
0000000000000064,0000000000000064
0000000000000077,0000000000000077
0000000000000089,0000000000000089
0000000000000163,0000000000000163
0000000000000171,0000000000000171
0000000000000016,0000000000000016
0000000000000017,0000000000000017
0000000000000018,0000000000000018
0000000000000038,0000000000000038
0000000000000040,0000000000000040
0000000000000042,0000000000000042
0000000000000044,0000000000000044
0000000000000049,0000000000000049
0000000000000063,0000000000000063
0000000000000075,0000000000000075
0000000000000090,0000000000000090
0000000000000091,0000000000000091
0000000000000153,0000000000000153
0000000000000012,0000000000000012
0000000000000026,0000000000000026
0000000000000015,0000000000000015
0000000000000041,0000000000000041
0000000000000060,0000000000000060
0000000000000013,0000000000000013
0000000000000177,0000000000000177
0000000000000052,0000000000000052
0000000000000053,0000000000000053
0000000000000054,0000000000000054
0000000000000055,0000000000000055
0000000000000056,0000000000000056
0000000000000057,0000000000000057
0000000000000059,0000000000000059
0000000000000071,0000000000000071
0000000000000151,0000000000000151
0000000000000184,0000000000000184
0000000000000120,0000000000000120
0000000000000131,0000000000000131
0000000000000141,0000000000000141
0000000000000074,0000000000000074
0000000000000106,0000000000000106
0000000000000088,0000000000000088
0000000000000118,0000000000000118
0000000000000119,0000000000000119
0000000000000130,0000000000000130
0000000000000135,0000000000000135
0000000000000105,0000000000000105
0000000000000142,0000000000000142
0000000000000021,0000000000000021
0000000000000025,0000000000000025
0000000000000080,0000000000000080
0000000000000095,0000000000000095
0000000000000164,0000000000000164
0000000000000166,0000000000000166
0000000000000167,0000000000000167
0000000000000170,0000000000000170
0000000000000174,0000000000000174
0000000000000182,0000000000000182
0000000000000082,0000000000000082
0000000000000078,0000000000000078
0000000000000101,0000000000000101
0000000000000103,0000000000000103
0000000000000159,0000000000000159
0000000000000043,0000000000000043
0000000000000070,0000000000000070
0000000000000094,0000000000000094
0000000000000110,0000000000000110
0000000000000111,0000000000000111
0000000000000124,0000000000000124
0000000000000136,0000000000000136
0000000000000148,0000000000000148
0000000000000149,0000000000000149
0000000000000156,0000000000000156
0000000000000112,0000000000000112
0000000000000065,0000000000000065
0000000000000104,0000000000000104
0000000000000122,0000000000000122
0000000000000155,0000000000000155
0000000000000160,0000000000000160
0000000000000102,0000000000000102
0000000000000114,0000000000000114
0000000000000123,0000000000000123
0000000000000147,0000000000000147
0000000000000162,0000000000000162
0000000000000004,0000000000000004
0000000000000035,0000000000000035
0000000000000036,0000000000000036
0000000000000037,0000000000000037
0000000000000039,0000000000000039
0000000000000046,0000000000000046
0000000000000069,0000000000000069
0000000000000072,0000000000000072
0000000000000107,0000000000000107
0000000000000129,0000000000000129
0000000000000134,0000000000000134
0000000000000143,0000000000000143
0000000000000150,0000000000000150
0000000000000132,0000000000000132
0000000000000168,0000000000000168
0000000000000001,0000000000000001
0000000000000033,0000000000000033
0000000000000027,0000000000000027
0000000000000067,0000000000000067
0000000000000113,0000000000000113
0000000000000144,0000000000000144
0000000000000128,0000000000000128
0000000000000125,0000000000000125
0000000000000115,0000000000000115
0000000000000133,0000000000000133
0000000000000158,0000000000000158
0000000000000139,0000000000000139
0000000000000079,0000000000000079
0000000000000116,0000000000000116
0000000000000117,0000000000000117
0000000000000121,0000000000000121
0000000000000146,0000000000000146
0000000000000161,0000000000000161
0000000000000031,0000000000000031
0000000000000048,0000000000000048
0000000000000138,0000000000000138
0000000000000175,0000000000000175
0000000000000181,0000000000000181
0000000000000183,0000000000000183
