rstrnt_no,rstrnt_name,star,loc,loc_dtl,catg,catg_dtl,catag_no,tel,opn_tm,brck_tm,dnnr_tm,lo_tm
0000000000000002,고료리 켄,-2,강남구,"강남구 언주로 174길 30, 1층 101호",일식,일식,13,02-511-7809,18:00,0:00,0:00,21:30
0000000000000029,모모야마,-2,중구,"중구 을지로 30, 롯데호텔 38층",일식,일식,13,02-317-7031,11:30,14:00,18:00,21:30
0000000000000058,스시조,-2,중구,"중구 소공로 106, 웨스틴 조선 호텔 20층",일식,일식,13,02-317-0373,12:00,14:30,17:30,21:30
0000000000000081,카덴,-2,서대문구,서대문구 연희로 173 2층,일식,일식,13,02-3142-6362,11:30,14:00,17:30,21:00
0000000000000097,하코네,-2,강남구,"강남구 테헤란로 521, 그랜드 인터컨티넨탈 파르나스 호텔 1층",일식,일식,13,02-559-7623,11:30,14:00,18:00,21:30
0000000000000011,도림,-2,중구,"중구 을지로 30, 롯데호텔 37층",중식,중식,14,02-317-7101,11:30,14:00,18:00,21:30
0000000000000034,백리향,-2,영등포구,"영등포구 63로 50, 63빌딩 57층",중식,중식,14,02-789-5741,11:30,14:00,17:30,21:00
0000000000000073,웨이루,-2,강남구,"강남구 테헤란로 521, 그랜드 인터컨티넨탈 파르나스 호텔 34층",중식,중식,14,02-559-7620,12:00,14:30,18:00,21:30
0000000000000085,크리스탈 제이드,-2,중구,"중구 남대문로 7길 16, 지하 1층",중식,중식,14,02-3789-8088,11:30,14:30,17:00,21:30
0000000000000099,홍보각,-2,중구,"중구 동호로 287, 그랜드 앰배서더 풀만 호텔 2층",중식,중식,14,02-2270-3141,12:00,14:30,18:00,21:30
0000000000000100,홍연,-2,중구,"중구 소공로 106, 웨스틴 조선 호텔 1층",중식,중식,14,02-317-0494,12:00,14:30,18:00,21:30
0000000000000127,산동 교자관,-1,강남구,강남구 압구정로 214,중식,중식,14,02-514-2608,12:00,13:30,17:30,21:00
0000000000000172,유 유안,1,종로구,"종로구 새문안로 97, 포시즌스 호텔 11층",중식,중식,14,02-6388-5500,11:30,14:15,17:30,21:15
0000000000000176,진진,1,마포구,마포구 잔다리로 123,중식,중식,14,070-5035-8878,17:00,0:00,0:00,23:00
0000000000000108,금산 제면소,-1,중구,중구 소공로 6길 13,중식,중식,14,NULL,11:00,13:45,16:00,19:45
0000000000000007,곳간,-2,영등포구,"영등포구 여의대로 24, 전경련 회관 50층",한식,한식,16,02-2055-4447,12:00,13:30,18:00,20:00
0000000000000009,달 식탁,-2,강남구,"강남구 도산대로 15길 11, 지하 1층",한식,한식,16,02-511-9440,11:30,14:00,16:00,21:30
0000000000000014,두레유,-2,종로구,종로구 북촌로 65,한식,한식,16,02-743-2468,11:30,14:00,17:30,20:30
0000000000000030,무궁화,-2,중구,"중구 을지로 30, 롯데호텔 38층",한식,한식,16, 02-317-7061,11:30,13:30,18:00,21:00
0000000000000032,민스 키친,-2,강남구,"강남구 도산대로 45길 10-4, 지하 1층",한식,한식,16,02-544-1007,11:30,14:00,17:30,21:00
0000000000000047,서교고메,-2,마포구,마포구 월드컵로 14길 19,한식,한식,16,02-332-3626,12:00,14:30,18:00,22:00
0000000000000050,석파랑,-2,종로구,종로구 자하문로 309,한식,한식,16,02-395-2500,12:00,14:00,18:00,20:30
0000000000000062,안씨 막걸리,-2,용산구,용산구 회나무로 13가길 61,한식,한식,16, 010-9965-5112,18:00,0:00,0:00,0:00
0000000000000066,온달,-2,광진구,"광진구 워커힐로 177, 그랜드 워커힐 호텔 2층",한식,한식,16,02-450-4518,12:00,14:30,18:00,21:30
0000000000000068,용수산,-2,종로구,종로구 창덕궁 1길 2,한식,한식,16,02-743-5999,12:00,14:30,18:00,20:30
0000000000000096,하모,-2,강남구,"강남구 언주로 819, 2층",한식,한식,16,02-515-4266,11:30,14:30,17:00,21:00
0000000000000098,할머니의 레시피,-2,성동구,성동구 서울숲 6길 15-1,한식,한식,16,02-467-5101,11:30,14:30,17:00,21:00
0000000000000109,"꽃, 밥에피다",-1,종로구,종로구 인사동 16길 3-6,한식,한식,16,02-732-0276,11:30,14:30,17:30,21:00
0000000000000126,북막골,-1,종로구,종로구 삼청로 124-6,한식,한식,16,02-730-0980,11:00,0:00,0:00,20:30
0000000000000137,오통영,-1,강남구,"강남구 선릉로 158길 10, 지하 1층",한식,한식,16,02-544-2377,11:30,14:30,17:00,22:00
0000000000000145,일호식,-1,용산구,용산구 대사관로 35,한식,한식,16,02-794-2648,11:00,15:30,18:00,21:30
0000000000000154,페스타 다이닝,-1,중구,"중구 장충단로 60, 반얀트리 클럽 앤 스파",한식,한식,16,02-2250-8170,11:30,14:30,18:00,21:30
0000000000000157,한일관,-1,강남구,강남구 압구정로 38길 14,한식,한식,16,02-732-3735,11:30,0:00,0:00,21:00
0000000000000169,비채나,1,송파구,"송파구 올림픽로 300, 롯데월드 타워 81층",한식,한식,16,02-3213-1260,11:30,13:15,18:00,20:00
